Contributors,Dependent repositories,First release,Forks,Latest release,Repository size,Stars,Total releases,Watchers,homepage,name,pkg_link,repo_link
6,0,"Oct  5, 2015",15,"Oct  5, 2015",240 KB,5,1,31,https://github.com/flipkart-incubator/databuilderframework,com.flipkart.databuilderframework/databuilderframework,https://clojars.org/com.flipkart.databuilderframework/databuilderframework/versions/0.5-SNAPSHOT,https://github.com/flipkart-incubator/databuilderframework
6,0,"Oct  5, 2015",3,"Oct  5, 2015",6.79 MB,4,1,3,https://github.com/gbrd/embedded-redis,gbrd/embedded-redis,https://clojars.org/gbrd/embedded-redis/versions/0.2-SNAPSHOT,https://github.com/gbrd/embedded-redis
1,0,"Oct  5, 2015",0,"Oct  5, 2015",559 KB,4,2,1,http://cmbntr.github.com/clj-exchange,clj-exchange,https://clojars.org/clj-exchange/versions/0.0.2,https://github.com/cmbntr/clj-exchange
1,0,"Jul  4, 2018",0,"Jul  4, 2018",6.84 KB,4,2,1,https://github.com/clojure-goes-fast/jvm-hiccup-meter,com.clojure-goes-fast/jvm-hiccup-meter,https://clojars.org/com.clojure-goes-fast/jvm-hiccup-meter/versions/0.1.1,https://github.com/clojure-goes-fast/jvm-hiccup-meter
1,0,"Oct  5, 2015",0,"Oct  5, 2015",551 KB,4,1,1,https://github.com/ato/jshotgun,org.meshy/jshotgun-osx,https://clojars.org/org.meshy/jshotgun-osx/versions/1.0.2,https://github.com/ato/jshotgun
6,0,"Oct  5, 2015",3,"Oct  5, 2015",6.79 MB,4,1,3,https://github.com/gbrd/embedded-redis,org.clojars.gaelbreard.redis.embedded/embedded-redis,https://clojars.org/org.clojars.gaelbreard.redis.embedded/embedded-redis/versions/0.2-SNAPSHOT,https://github.com/gbrd/embedded-redis
3,0,"Oct  5, 2015",4,"Oct  5, 2015",937 KB,4,1,2,https://github.com/brndnmtthws/storm-kafka-0.8-plus,org.clojars.strongh/storm-kafka-0.8-plus,https://clojars.org/org.clojars.strongh/storm-kafka-0.8-plus/versions/0.1.5-SNAPSHOT,https://github.com/brndnmtthws/storm-kafka-0.8-plus
3,0,"Oct  5, 2015",4,"Oct  5, 2015",937 KB,4,25,2,https://github.com/brndnmtthws/storm-kafka-0.8-plus,org.clojars.brenden/storm-kafka-0.8-plus,https://clojars.org/org.clojars.brenden/storm-kafka-0.8-plus/versions/0.3.1-SNAPSHOT,https://github.com/brndnmtthws/storm-kafka-0.8-plus
1,0,"Jun 27, 2016",0,"Jun 27, 2016",316 KB,4,1,3,https://github.com/fluke777/goodzilla,goodzilla,https://clojars.org/goodzilla/versions/0.0.1-SNAPSHOT,https://github.com/fluke777/goodzilla
1,0,"Sep 14, 2016",1,"Sep 21, 2016",12.7 KB,4,2,3,https://github.com/kawasima/excelebration,net.unit8.excelebration/excelebration,https://clojars.org/net.unit8.excelebration/excelebration/versions/0.2.0,https://github.com/kawasima/excelebration
1,0,"Sep 28, 2016",5,"Sep 28, 2016",28.3 KB,4,1,1,https://github.com/phaneesh/hazelcast-marathon-discovery,com.marathon.hazelcast.servicediscovery/hazelcast-marathon-discovery,https://clojars.org/com.marathon.hazelcast.servicediscovery/hazelcast-marathon-discovery/versions/0.0.6,https://github.com/phaneesh/hazelcast-marathon-discovery
1,0,"Oct  5, 2015",0,"Oct  5, 2015",551 KB,4,2,1,https://github.com/ato/jshotgun,org.meshy/jshotgun,https://clojars.org/org.meshy/jshotgun/versions/1.0.1,https://github.com/ato/jshotgun
0,0,"Sep 17, 2016",2,"Sep 17, 2016",24.4 KB,4,1,2,https://github.com/santanusinha/json-rules,io.appform.rules/json-rules,https://clojars.org/io.appform.rules/json-rules/versions/0.1-SNAPSHOT,https://github.com/santanusinha/json-rules
1,2,"Oct  5, 2015",0,"Aug 29, 2016",527 KB,4,4,1,https://github.com/hyPiRion/primes,com.hypirion/primes,https://clojars.org/com.hypirion/primes/versions/0.2.2,https://github.com/hyPiRion/primes
1,0,"Feb 28, 2018",0,"Feb 28, 2018",164 KB,3,6,2,https://github.com/shark8me/tfevent-sink,org.shark8me/tfevent-sink,https://clojars.org/org.shark8me/tfevent-sink/versions/0.1.4,https://github.com/shark8me/tfevent-sink
4,0,"Oct  5, 2015",0,"Oct  5, 2015",268 KB,3,8,3,https://github.com/brndnmtthws/storm-amqp-spout,org.clojars.brenden/storm-amqp-spout,https://clojars.org/org.clojars.brenden/storm-amqp-spout/versions/0.2.8-SNAPSHOT,https://github.com/brndnmtthws/storm-amqp-spout
1,0,"Oct  5, 2015",5,"Oct  5, 2015",9.09 MB,3,1,1,https://github.com/Ruiyun/dvrsdk4j,dvrsdk4j,https://clojars.org/dvrsdk4j/versions/1.0-SNAPSHOT,https://github.com/Ruiyun/dvrsdk4j
1,0,"Oct  5, 2015",1,"Oct  5, 2015",332 KB,3,1,1,http://flickrj.sourceforge.net/,flickrj,https://clojars.org/flickrj/versions/1.2,https://github.com/r0man/flickrj
4,13,"Oct  5, 2015",5,"Oct  5, 2015",292 KB,3,2,2,https://github.com/dakrone/tigris,tigris,https://clojars.org/tigris/versions/0.1.1,https://github.com/dakrone/tigris
1,1,"Oct  5, 2015",2,"Oct  5, 2015",321 KB,3,16,2,http://yellerapp.com/docs/java,yeller-java-api,https://clojars.org/yeller-java-api/versions/1.4.2,https://github.com/yeller/yeller_java
