Contributors,Dependencies,Dependent packages,Dependent repositories,First release,Forks,Latest release,Repository size,Stars,Total releases,Watchers,homepage,name,pkg_link,repo_link
6,1,0,0,"Feb 27, 2018",188,"Feb 27, 2018",73.7 MB,1.31K,1,61,https://github.com/albertlatacz/java-repl,javarepl,http://formulae.brew.sh/formula/javarepl,https://github.com/albertlatacz/java-repl
5,,,0,"Sep 19, 2015",50,"Mar 27, 2017",2.66 MB,1.16K,0,30,https://tailor.sh,tailor,http://formulae.brew.sh/formula/tailor,https://github.com/sleekbyte/tailor
6,1,0,0,"Feb 27, 2018",204,"Feb 27, 2018",262 KB,960,1,76,https://github.com/patric-r/jvmtop,jvmtop,http://formulae.brew.sh/formula/jvmtop,https://github.com/patric-r/jvmtop
45,1,0,0,"Feb 27, 2018",182,"Feb 27, 2018",22.1 MB,836,1,63,https://validator.github.io/validator/,vnu,http://formulae.brew.sh/formula/vnu,https://github.com/validator/validator
27,1,0,0,"Feb 27, 2018",146,"Feb 27, 2018",77.2 MB,831,1,120,https://www.digdag.io/,digdag,http://formulae.brew.sh/formula/digdag,https://github.com/treasure-data/digdag
36,,,0,"Mar 13, 2013",271,"Mar  4, 2018",5.23 MB,737,0,85,https://jbake.org/,jbake,http://formulae.brew.sh/formula/jbake,https://github.com/jbake-org/jbake
24,3,0,0,"Feb 27, 2018",130,"Feb 27, 2018",3.42 MB,729,1,35,https://github.com/rnewson/couchdb-lucene,couchdb-lucene,http://formulae.brew.sh/formula/couchdb-lucene,https://github.com/rnewson/couchdb-lucene
32,0,0,0,"Feb 27, 2018",295,"Feb 27, 2018",38 MB,632,1,125,https://projects.spring.io/spring-roo/,springroo,http://formulae.brew.sh/formula/springroo,https://github.com/spring-projects/spring-roo
26,0,0,0,"Feb 27, 2018",117,"Feb 27, 2018",5.19 MB,603,1,30,http://www.martiansoftware.com/nailgun/,nailgun,http://formulae.brew.sh/formula/nailgun,https://github.com/martylamb/nailgun
5,0,0,0,"Feb 27, 2018",79,"Feb 27, 2018",185 KB,561,1,52,https://github.com/na-ka-na/ExcelCompare,excelcompare,http://formulae.brew.sh/formula/excelcompare,https://github.com/na-ka-na/ExcelCompare
19,1,0,0,"Feb 27, 2018",140,"Feb 27, 2018",342 KB,512,1,64,https://github.com/awslabs/aws-apigateway-importer,awsapigatewayimporter,http://formulae.brew.sh/formula/awsapigatewayimporter,https://github.com/awslabs/aws-apigateway-importer
15,,,0,"Apr 12, 2013",94,"Sep 18, 2015",3.98 MB,497,0,373,https://github.com/Netflix/denominator/tree/v4.7.1/cli,denominator,https://github.com/Netflix/denominator,https://github.com/Netflix/denominator/tree/v4.7.1/cli
