Contributors,Dependencies,Dependent packages,Dependent repositories,First release,Forks,Latest release,Repository size,Stars,Total releases,Watchers,homepage,name,pkg_link,repo_link
1,0,0,0,"Oct 20, 2013",6,"Oct 20, 2013",1.51 MB,22,2,5,https://github.com/hyperfiction/HypMedias,HypMedias,https://lib.haxe.org/p/HypMedias/1.0.1,https://github.com/hyperfiction/HypMedias
2,0,0,0,"Jun 11, 2015",1,"Oct  6, 2016",22.5 KB,10,4,5,https://github.com/sempaigames/extension-android-immersive,extension-android-immersive,https://lib.haxe.org/p/extension-android-immersive/1.1.0,https://github.com/sempaigames/extension-android-immersive
0,0,0,0,"Nov 10, 2016",0,"Nov 10, 2016",4.88 KB,2,2,5,https://github.com/SempaiGames/extension-wake-lock,extension-wake-lock,https://lib.haxe.org/p/extension-wake-lock/1.0.1,https://github.com/SempaiGames/extension-wake-lock
0,0,0,0,"May 24, 2016",0,"May 24, 2016",44.9 KB,1,1,2,https://github.com/Mystraht/extension-apprating,extension-apprating,https://lib.haxe.org/p/extension-apprating/1.0.2,https://github.com/Mystraht/extension-apprating
1,0,0,0,"Mar  8, 2017",0,"Mar  8, 2017",2.93 KB,0,1,1,https://github.com/spacemages/extension-android-feedback,extension-android-feedback,https://lib.haxe.org/p/extension-android-feedback/1.0.0,https://github.com/spacemages/extension-android-feedback
