Contributors,Dependencies,Dependent packages,Dependent repositories,First release,Forks,Latest release,Repository size,Stars,Total releases,Watchers,homepage,name,pkg_link,repo_link
26,1,1,0,"Sep 15, 2011",183,"Aug 21, 2013",25 MB,792,6,74,http://github.com/webbit/webbit,webbit-jars,https://rubygems.org/gems/webbit-jars/versions/0.4.15,https://github.com/webbit/webbit
67,0,0,0,"Apr 18, 2011",240,"Apr 18, 2011",3.23 MB,557,1,29,http://flori.github.com/json,larsklevan-json,https://rubygems.org/gems/larsklevan-json/versions/1.5.1,https://github.com/flori/json
67,0,596,16.6K,"Jul 25, 2009",240,25 days ago,3.23 MB,557,65,29,http://flori.github.com/json,json_pure,https://rubygems.org/gems/json_pure/versions/2.3.0,https://github.com/flori/json
67,0,0,0,"Sep 19, 2011",240,"Sep  2, 2012",3.23 MB,557,12,29,http://flori.github.com/json,json-maglev-,https://rubygems.org/gems/json-maglev-/versions/1.7.5,https://github.com/flori/json
67,0,7.97K,445K,"Jul 25, 2009",240,"Dec 11, 2019",3.23 MB,557,69,29,http://flori.github.com/json,json,https://rubygems.org/gems/json/versions/2.3.0,https://github.com/flori/json
11,0,0,2,"Jun 10, 2014",43,"Apr 17, 2018",1.46 MB,480,28,18,https://github.com/paulfitz/daff,daff,https://rubygems.org/gems/daff/versions/1.3.27,https://github.com/paulfitz/daff
93,1,0,0,"Jun 23, 2012",237,"Jun 23, 2012",8.44 MB,393,1,47,http://github.com/cucumber/gherkin,bryanl-gherkin,https://rubygems.org/gems/bryanl-gherkin/versions/2.11.1.1,https://github.com/cucumber/gherkin
11,1,0,0,"Aug  2, 2013",24,"Aug  2, 2013",442 KB,294,1,17,https://github.com/headius/thread_safe,thread_safe-ianunruh,https://rubygems.org/gems/thread_safe-ianunruh/versions/0.1.1,https://github.com/headius/thread_safe
12,1,2,9,"Jan 22, 2015",98,"Feb 27, 2015",476 KB,240,4,36,http://github.com/google/gtfs-realtime-bindings,gtfs-realtime-bindings,https://rubygems.org/gems/gtfs-realtime-bindings/versions/0.0.5,https://github.com/google/gtfs-realtime-bindings
9,1,1,3,"Dec  1, 2012",58,"Mar 19, 2014",11.9 MB,193,5,35,https://github.com/infochimps-labs/wonderdog,wonderdog,https://rubygems.org/gems/wonderdog/versions/0.2.0,https://github.com/infochimps-labs/wonderdog
17,0,164,447K,"Apr 26, 2012",17,"Feb 22, 2017",514 KB,188,14,13,https://github.com/ruby-concurrency/thread_safe,thread_safe,https://rubygems.org/gems/thread_safe/versions/0.3.6,https://github.com/ruby-concurrency/thread_safe
9,0,0,1,"Mar 13, 2018",60,"Mar 19, 2018",1.72 MB,165,2,30,https://github.com/googlei18n/myanmar-tools,myanmar-tools,https://rubygems.org/gems/myanmar-tools/versions/0.1.1,https://github.com/googlei18n/myanmar-tools
8,1,1,1,"Aug  7, 2011",33,"Jan 19, 2012",3.03 MB,122,3,12,http://github.com/s7/scale7-pelops,pelops-jars,https://rubygems.org/gems/pelops-jars/versions/1.3.0,https://github.com/s7/scale7-pelops
13,0,0,9,"Aug 18, 2011",60,"Sep 20, 2019",18.6 MB,114,25,18,http://sqldroid.org/,sqldroid,https://rubygems.org/gems/sqldroid/versions/1.1.0.beta.4,https://github.com/SQLDroid/SQLDroid
9,3,0,0,"Mar 17, 2015",68,3 days ago,235 MB,114,105,18,http://mpxj.sf.net,mpxj,https://rubygems.org/gems/mpxj/versions/8.0.7,https://github.com/joniles/mpxj
9,0,0,6,"Jul 25, 2009",15,"Aug 16, 2012",46.1 MB,108,16,9,http://github.com/slagyr/limelight,limelight,https://rubygems.org/gems/limelight/versions/0.6.19,https://github.com/slagyr/limelight
42,0,0,0,"Feb 16, 2015",53,"Sep  6, 2019",879 KB,69,31,32,https://github.com/embulk/embulk-input-jdbc,embulk-input-postgresql,https://rubygems.org/gems/embulk-input-postgresql/versions/0.10.1,https://github.com/embulk/embulk-input-jdbc
42,0,0,0,"Feb 16, 2015",53,"Sep  6, 2019",879 KB,69,31,32,https://github.com/embulk/embulk-input-jdbc,embulk-input-redshift,https://rubygems.org/gems/embulk-input-redshift/versions/0.10.1,https://github.com/embulk/embulk-input-jdbc
42,0,0,0,"Feb 16, 2015",53,"May 23, 2019",879 KB,69,31,32,https://github.com/embulk/embulk-input-jdbc,embulk-input-jdbc,https://rubygems.org/gems/embulk-input-jdbc/versions/0.10.0,https://github.com/embulk/embulk-input-jdbc
42,0,0,0,"Jun 17, 2015",53,"Sep  6, 2019",879 KB,69,24,32,https://github.com/embulk/embulk-input-jdbc,embulk-input-oracle,https://rubygems.org/gems/embulk-input-oracle/versions/0.10.1,https://github.com/embulk/embulk-input-jdbc
42,0,0,0,"Oct 13, 2016",53,"Sep  6, 2019",879 KB,69,13,32,https://github.com/embulk/embulk-input-jdbc,embulk-input-db2,https://rubygems.org/gems/embulk-input-db2/versions/0.10.1,https://github.com/embulk/embulk-input-jdbc
42,0,1,2,"Feb 16, 2015",53,"Sep  6, 2019",879 KB,69,31,32,https://github.com/embulk/embulk-input-jdbc,embulk-input-mysql,https://rubygems.org/gems/embulk-input-mysql/versions/0.10.1,https://github.com/embulk/embulk-input-jdbc
42,0,0,0,"Jul  7, 2015",53,"Sep  6, 2019",879 KB,69,23,32,https://github.com/embulk/embulk-input-jdbc,embulk-input-sqlserver,https://rubygems.org/gems/embulk-input-sqlserver/versions/0.10.1,https://github.com/embulk/embulk-input-jdbc
1,0,0,0,"Aug 17, 2013",1,"Aug 17, 2013",121 KB,68,3,6,https://github.com/headius/jo,jo,https://rubygems.org/gems/jo/versions/0.2.0,https://github.com/headius/jo
18,0,1,24,"Nov  8, 2013",26,"Jul 22, 2015",1.32 MB,64,3,10,https://bitbucket.org/ged/ruby-pg,pg_jruby,https://rubygems.org/gems/pg_jruby/versions/0.17.1,https://github.com/headius/jruby-pg
29,0,0,0,"Feb 16, 2015",61,"Dec 23, 2019",1.6 MB,64,45,32,https://github.com/embulk/embulk-output-jdbc,embulk-output-redshift,https://rubygems.org/gems/embulk-output-redshift/versions/0.8.7,https://github.com/embulk/embulk-output-jdbc
29,0,0,0,"Oct 26, 2016",61,"Dec 23, 2019",1.6 MB,64,22,32,https://github.com/embulk/embulk-output-jdbc,embulk-output-db2,https://rubygems.org/gems/embulk-output-db2/versions/0.8.7,https://github.com/embulk/embulk-output-jdbc
29,0,0,0,"Feb 16, 2015",61,"Dec 23, 2019",1.6 MB,64,45,32,https://github.com/embulk/embulk-output-jdbc,embulk-output-postgresql,https://rubygems.org/gems/embulk-output-postgresql/versions/0.8.7,https://github.com/embulk/embulk-output-jdbc
29,0,1,1,"Feb 16, 2015",61,"Dec 23, 2019",1.6 MB,64,45,32,https://github.com/embulk/embulk-output-jdbc,embulk-output-mysql,https://rubygems.org/gems/embulk-output-mysql/versions/0.8.7,https://github.com/embulk/embulk-output-jdbc
