Contributors,Dependencies,Dependent packages,Dependent repositories,First release,Forks,Latest release,Repository size,Stars,Total releases,Watchers,homepage,name,pkg_link,repo_link
0,,,0,"Dec  4, 2016",1,"Nov 14, 2019",52.7 KB,0,0,1,http://wezfurlong.org/blog/2006/nov/parser-and-lexer-generators-for-php,shinobu/jlex-php,https://packagist.org/packages/shinobu/jlex-php#,https://github.com/shinobu/JLexPHP
1,,,0,"May 31, 2017",0,"Nov 14, 2019",472 KB,0,0,1,https://github.com/open520yin/java_photo,open520yin/java_photo,https://packagist.org/packages/open520yin/java_photo#,https://github.com/open520yin/java_photo
46,4,7,6,"Jun  9, 2014",0,"Jan  8, 2015",3.15 MB,0,2,1,https://github.com/antonioribeiro/ua-parser,pragmarx/ua-parser,https://packagist.org/packages/pragmarx/ua-parser#v0.3.4,https://github.com/antonioribeiro/ua-parser
56,4,0,0,"Jan 27, 2014",0,"Jul  1, 2014",3.27 MB,0,2,31,https://github.com/performanceHorizonGroup/ua-parser,performancehorizongroup/ua-parser,https://packagist.org/packages/performancehorizongroup/ua-parser#v0.3.4,https://github.com/performanceHorizonGroup/ua-parser
1,1,0,1,"Feb 19, 2016",1,"Feb 21, 2016",1.79 MB,0,12,1,https://github.com/xvs32x/tinymce-responsivefilemanager,xvs32x/tinymce-responsivefilemanager,https://packagist.org/packages/xvs32x/tinymce-responsivefilemanager#1.0.13,https://github.com/xvs32x/tinymce-responsivefilemanager
11,2,2,1,"May 28, 2017",0,"Jul 22, 2018",1.53 MB,0,7,1,https://gitlab.com/Serenata/name-qualification-utilities,php-integrator/name-qualification-utilities,/languages/Java,https://packagist.org/packages/php-integrator/name-qualification-utilities#0.5.0
0,0,0,1,"Dec 14, 2018",1,"Dec 14, 2018",25.4 KB,0,1,1,https://github.com/jgaydos/php-jdbc-bridge,jgaydos/php-jdbc-bridge,https://packagist.org/packages/jgaydos/php-jdbc-bridge#1.0.0,https://github.com/jgaydos/php-jdbc-bridge
1,1,0,0,"Jan  3, 2017",0,"Jan 18, 2017",79.1 KB,0,2,1,https://github.com/BulgariaPHP/glagol-dsl-client,bulgaria-php/glagol-dsl-client,https://packagist.org/packages/bulgaria-php/glagol-dsl-client#v0.1.1,https://github.com/BulgariaPHP/glagol-dsl-client
1,,,0,"Oct  8, 2017",0,"Nov 14, 2019",1.09 MB,0,0,3,https://github.com/candango/carcara,candango/carcara,https://packagist.org/packages/candango/carcara#,https://github.com/candango/carcara
1,,,0,"May  1, 2015",0,"May  1, 2015",76.2 MB,0,0,2,https://github.com/masudjbd/MUMScrum,masudjbd/mumscrum,https://packagist.org/packages/masudjbd/mumscrum#,https://github.com/masudjbd/MUMScrum
1,,,0,"Jul 18, 2013",0,"Nov 14, 2019",156 KB,0,0,1,https://github.com/darkpsy3934/MTPetitions,minetown/mt-petitions,https://packagist.org/packages/minetown/mt-petitions#,https://github.com/darkpsy3934/MTPetitions
6,0,0,2,"Sep 25, 2014",0,"Sep 26, 2014",2.12 MB,0,2,5,https://github.com/scribenet/ScribeCssEmbedLibrary,scribe/cssembed-library,https://packagist.org/packages/scribe/cssembed-library#v0.4.6,https://github.com/scribenet/ScribeCssEmbedLibrary
3,,,0,"Mar 14, 2015",0,"Nov 14, 2019",337 KB,0,0,1,https://github.com/talandis/mailersoft,talandis/mailersoft,https://packagist.org/packages/talandis/mailersoft#,https://github.com/talandis/mailersoft
1,1,0,0,"Nov  2, 2016",0,"Jun  6, 2018",1.4 MB,0,2,0,https://github.com/ntidev/PdfJsBundle,nti/pdfjs-bundle,https://packagist.org/packages/nti/pdfjs-bundle#v1.0.1,https://github.com/ntidev/PdfJsBundle
