Contributors,Dependent repositories,First release,Forks,Latest release,Repository size,Stars,Total releases,Watchers,homepage,name,pkg_link,repo_link
3,0,"Jan 26, 2015",5,"Jan 26, 2015",3.87 MB,35,3,2,http://code.google.com/p/greg/,greg-client,http://hackage.haskell.org/package/greg-client-1.0.2,https://github.com/jkff/greg
1,0,"Jan 26, 2015",2,"Jan 26, 2015",521 KB,16,8,2,https://github.com/ifesdjeen/continuum,continuum,http://hackage.haskell.org/package/continuum-0.1.0.7,https://github.com/ifesdjeen/continuum
1,0,"Jan 26, 2015",2,"Jan 26, 2015",521 KB,16,1,2,https://github.com/ifesdjeen/continuum,continuum-client,http://hackage.haskell.org/package/continuum-client-0.1.0.0,https://github.com/ifesdjeen/continuum
2,0,"Jan 26, 2015",1,"Jan 26, 2015",1.27 MB,3,2,1,https://github.com/danidiaz/pianola,pianola,http://hackage.haskell.org/package/pianola-0.1.1,https://github.com/danidiaz/pianola
1,0,"May  6, 2015",0,"Mar 29, 2017",256 KB,2,6,1,http://github.com/jasonrbriggs/proton,proton-haskell,http://hackage.haskell.org/package/proton-haskell-0.7,https://github.com/jasonrbriggs/proton
2,0,"Jan 26, 2015",0,"Jan 26, 2015",1.49 MB,0,3,1,https://github.com/matthijssteen/uuagd,uuagd,https://github.com/matthijssteen/uuagd,https://github.com/matthijssteen/uuagd
